[industry] (127)
881002.SH	煤炭开采
881005.SH	焦炭加工
881007.SH	油气开采
881008.SH	油服工程
881011.SH	石油化工
881016.SH	日用化工
881019.SH	化纤
881026.SH	化学原料
881034.SH	化学制品
881044.SH	塑料
881051.SH	橡胶
881055.SH	农用化工
881062.SH	冶钢原料
881065.SH	普钢
881069.SH	特钢
881071.SH	工业金属
881075.SH	贵金属
881078.SH	能源金属
881082.SH	稀有金属
881087.SH	金属新材料
881091.SH	水泥
881094.SH	玻璃玻纤
881097.SH	装饰建材
881104.SH	非金属材料
881106.SH	种植业
881111.SH	养殖业
881115.SH	林业
881116.SH	渔业
881119.SH	饲料
881123.SH	农产品加工
881127.SH	动物保健
881130.SH	酿酒
881136.SH	饮料乳品
881139.SH	调味品
881140.SH	休闲食品
881144.SH	食品加工
881151.SH	纺织制造
881157.SH	服装家纺
881162.SH	饰品
881167.SH	造纸
881171.SH	包装印刷
881177.SH	家居用品
881180.SH	文娱用品
881184.SH	白色家电
881187.SH	黑色家电
881190.SH	小家电
881194.SH	厨卫电器
881198.SH	家电零部件
881200.SH	一般零售
881204.SH	商业物业经营
881205.SH	专业连锁
881206.SH	贸易
881207.SH	电子商务
881212.SH	乘用车
881215.SH	商用车
881218.SH	汽车零部件
881224.SH	汽车服务
881227.SH	摩托车及其他
881231.SH	化学制药
881234.SH	生物制品
881241.SH	医疗器械
881247.SH	医疗服务
881252.SH	医药商业
881256.SH	中药
881257.SH	医疗美容
881261.SH	电机制造
881262.SH	电池
881268.SH	电网设备
881275.SH	光伏设备
881282.SH	风电设备
881285.SH	其他发电设备
881287.SH	地面兵装
881288.SH	航空装备
881289.SH	航天装备
881290.SH	航海装备
881291.SH	军工电子
881293.SH	轨交设备
881294.SH	通用设备
881303.SH	专用设备
881310.SH	工程机械
881313.SH	自动化设备
881319.SH	半导体
881326.SH	消费电子
881329.SH	光学光电
881333.SH	元器件
881336.SH	其他电子
881338.SH	通信设备
881344.SH	电信服务
881347.SH	通信工程
881352.SH	IT设备
881355.SH	软件服务
881359.SH	云服务
881364.SH	产业互联网
881369.SH	游戏
881370.SH	广告营销
881373.SH	影视院线
881376.SH	数字媒体
881380.SH	出版业
881384.SH	广播电视
881386.SH	全国性银行
881389.SH	地方性银行
881394.SH	证券
881395.SH	保险
881396.SH	多元金融
881406.SH	房屋建设
881407.SH	基础建设
881410.SH	专业工程
881415.SH	工程咨询服务
881416.SH	装修装饰
881418.SH	房地产开发
881422.SH	房产服务
881427.SH	体育
881428.SH	教育培训
881429.SH	酒店餐饮
881432.SH	旅游
881436.SH	专业服务
881442.SH	公路铁路
881446.SH	航空机场
881449.SH	航运港口
881452.SH	物流
881459.SH	电力
881467.SH	燃气
881468.SH	水务
881470.SH	环保设备
881471.SH	环境治理
881476.SH	环境监测
881478.SH	综合类

[region] (32)
880201.SH	黑龙江
880202.SH	新疆板块
880203.SH	吉林板块
880204.SH	甘肃板块
880205.SH	辽宁板块
880206.SH	青海板块
880207.SH	北京板块
880208.SH	陕西板块
880209.SH	天津板块
880210.SH	广西板块
880211.SH	河北板块
880212.SH	广东板块
880213.SH	河南板块
880214.SH	宁夏板块
880215.SH	山东板块
880216.SH	上海板块
880217.SH	山西板块
880218.SH	深圳板块
880219.SH	湖北板块
880220.SH	福建板块
880221.SH	湖南板块
880222.SH	江西板块
880223.SH	四川板块
880224.SH	安徽板块
880225.SH	重庆板块
880226.SH	江苏板块
880227.SH	云南板块
880228.SH	浙江板块
880229.SH	贵州板块
880230.SH	海南板块
880231.SH	西藏板块
880232.SH	内蒙板块

[theme] (283)
880505.SH	稀缺资源
880506.SH	5G概念
880507.SH	国防军工
880513.SH	海峡西岸
880519.SH	碳中和
880520.SH	智能电网
880521.SH	黄金概念
880522.SH	低空经济
880523.SH	铜缆高速连接
880525.SH	高铁
880528.SH	军工信息化
880530.SH	合成生物
880533.SH	物联网
880534.SH	锂电池概念
880535.SH	稀土永磁
880536.SH	微盘精选
880537.SH	核电核能
880538.SH	参股金融
880540.SH	创投概念
880541.SH	AI手机PC
880542.SH	水利建设
880544.SH	光伏
880545.SH	云计算
880546.SH	卫星导航
880547.SH	玻璃基板
880548.SH	商业航天
880549.SH	可燃冰
880550.SH	PCB概念
880552.SH	车联网
880553.SH	页岩气
880555.SH	财税数字化
880556.SH	昨ST连板
880557.SH	生物疫苗
880558.SH	节能环保
880560.SH	高端装备
880561.SH	折叠屏
880562.SH	高校背景
880563.SH	食品安全
880564.SH	白酒概念
880565.SH	送转潜力
880567.SH	海南自贸
880568.SH	生物质能
880570.SH	高应收款
880571.SH	碳纤维
880573.SH	摘帽
880574.SH	苹果概念
880576.SH	并购重组股
880577.SH	安防服务
880579.SH	智谱AI
880580.SH	智能交通
880581.SH	控制权变更
880582.SH	风电
880583.SH	充电桩
880584.SH	石墨烯
880585.SH	风沙治理
880586.SH	土地流转
880587.SH	聚氨酯
880588.SH	MLCC概念
880589.SH	智能穿戴
880590.SH	网络游戏
880591.SH	上海自贸
880592.SH	互联金融
880593.SH	婴童概念
880594.SH	一带一路
880595.SH	世界杯概念
880596.SH	体育概念
880597.SH	养老概念
880598.SH	博彩概念
880599.SH	民营医院
